"year_folder","file","length"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_hof_validation_selection.csv","35994"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_smooth_focus_bs_delta_residual_formula.txt","126"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_smooth_focus_bs_delta_residual_pysr_equations.csv","5061"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_smooth_focus_bs_delta_residual_score_formula.txt","82"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_smooth_focus_bs_delta_residual_symbolic_formula.txt","82"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_smooth_uniform_bs_delta_residual_formula.txt","123"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_smooth_uniform_bs_delta_residual_pysr_equations.csv","5707"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_smooth_uniform_bs_delta_residual_score_formula.txt","79"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_smooth_uniform_bs_delta_residual_symbolic_formula.txt","79"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_uniform_bs_delta_residual_formula.txt","112"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_uniform_bs_delta_residual_pysr_equations.csv","4728"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_uniform_bs_delta_residual_score_formula.txt","68"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_uniform_bs_delta_residual_symbolic_formula.txt","68"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_hof_validation_selection.csv","37093"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_smooth_focus_bs_delta_residual_formula.txt","105"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_smooth_focus_bs_delta_residual_pysr_equations.csv","5121"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_smooth_focus_bs_delta_residual_score_formula.txt","61"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_smooth_focus_bs_delta_residual_symbolic_formula.txt","61"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_smooth_uniform_bs_delta_residual_formula.txt","122"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_smooth_uniform_bs_delta_residual_pysr_equations.csv","5173"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_smooth_uniform_bs_delta_residual_score_formula.txt","78"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_smooth_uniform_bs_delta_residual_symbolic_formula.txt","78"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_uniform_bs_delta_residual_formula.txt","96"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_uniform_bs_delta_residual_pysr_equations.csv","5420"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_uniform_bs_delta_residual_score_formula.txt","52"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_uniform_bs_delta_residual_symbolic_formula.txt","52"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_hof_validation_selection.csv","34387"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_smooth_focus_bs_delta_residual_formula.txt","114"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_smooth_focus_bs_delta_residual_pysr_equations.csv","5452"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_smooth_focus_bs_delta_residual_score_formula.txt","70"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_smooth_focus_bs_delta_residual_symbolic_formula.txt","70"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_smooth_uniform_bs_delta_residual_formula.txt","98"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_smooth_uniform_bs_delta_residual_pysr_equations.csv","4449"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_smooth_uniform_bs_delta_residual_score_formula.txt","54"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_smooth_uniform_bs_delta_residual_symbolic_formula.txt","54"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_uniform_bs_delta_residual_formula.txt","111"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_uniform_bs_delta_residual_pysr_equations.csv","4771"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_uniform_bs_delta_residual_score_formula.txt","67"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_uniform_bs_delta_residual_symbolic_formula.txt","67"
"2018_final_WF_exp1_k1_test2018","final_WF_exp1_k1_test2018_4000_hof_validation_selection.csv","33516"
"2018_final_WF_exp1_k1_test2018","final_WF_exp1_k1_test2018_4000_smooth_focus_bs_delta_residual_formula.txt","108"
"2018_final_WF_exp1_k1_test2018","final_WF_exp1_k1_test2018_4000_smooth_focus_bs_delta_residual_pysr_equations.csv","4507"
"2018_final_WF_exp1_k1_test2018","final_WF_exp1_k1_test2018_4000_smooth_focus_bs_delta_residual_score_formula.txt","64"
"2018_final_WF_exp1_k1_test2018","final_WF_exp1_k1_test2018_4000_smooth_focus_bs_delta_residual_symbolic_formula.txt","64"
"2018_final_WF_exp1_k1_test2018","final_WF_exp1_k1_test2018_4000_smooth_uniform_bs_delta_residual_formula.txt","113"
"2018_final_WF_exp1_k1_test2018","final_WF_exp1_k1_test2018_4000_smooth_uniform_bs_delta_residual_pysr_equations.csv","5312"
"2018_final_WF_exp1_k1_test2018","final_WF_exp1_k1_test2018_4000_smooth_uniform_bs_delta_residual_score_formula.txt","69"
"2018_final_WF_exp1_k1_test2018","final_WF_exp1_k1_test2018_4000_smooth_uniform_bs_delta_residual_symbolic_formula.txt","69"
"2018_final_WF_exp1_k1_test2018","final_WF_exp1_k1_test2018_4000_uniform_bs_delta_residual_formula.txt","115"
"2018_final_WF_exp1_k1_test2018","final_WF_exp1_k1_test2018_4000_uniform_bs_delta_residual_pysr_equations.csv","4946"
"2018_final_WF_exp1_k1_test2018","final_WF_exp1_k1_test2018_4000_uniform_bs_delta_residual_score_formula.txt","71"
"2018_final_WF_exp1_k1_test2018","final_WF_exp1_k1_test2018_4000_uniform_bs_delta_residual_symbolic_formula.txt","71"
"2019_final_WF_exp1_k1_test2019","final_WF_exp1_k1_test2019_17000_hof_validation_selection.csv","38001"
"2019_final_WF_exp1_k1_test2019","final_WF_exp1_k1_test2019_17000_smooth_focus_bs_delta_residual_formula.txt","98"
"2019_final_WF_exp1_k1_test2019","final_WF_exp1_k1_test2019_17000_smooth_focus_bs_delta_residual_pysr_equations.csv","5874"
"2019_final_WF_exp1_k1_test2019","final_WF_exp1_k1_test2019_17000_smooth_focus_bs_delta_residual_score_formula.txt","54"
"2019_final_WF_exp1_k1_test2019","final_WF_exp1_k1_test2019_17000_smooth_focus_bs_delta_residual_symbolic_formula.txt","54"
"2019_final_WF_exp1_k1_test2019","final_WF_exp1_k1_test2019_17000_smooth_uniform_bs_delta_residual_formula.txt","128"
"2019_final_WF_exp1_k1_test2019","final_WF_exp1_k1_test2019_17000_smooth_uniform_bs_delta_residual_pysr_equations.csv","5842"
"2019_final_WF_exp1_k1_test2019","final_WF_exp1_k1_test2019_17000_smooth_uniform_bs_delta_residual_score_formula.txt","84"
"2019_final_WF_exp1_k1_test2019","final_WF_exp1_k1_test2019_17000_smooth_uniform_bs_delta_residual_symbolic_formula.txt","84"
"2019_final_WF_exp1_k1_test2019","final_WF_exp1_k1_test2019_17000_uniform_bs_delta_residual_formula.txt","87"
"2019_final_WF_exp1_k1_test2019","final_WF_exp1_k1_test2019_17000_uniform_bs_delta_residual_pysr_equations.csv","4997"
"2019_final_WF_exp1_k1_test2019","final_WF_exp1_k1_test2019_17000_uniform_bs_delta_residual_score_formula.txt","43"
"2019_final_WF_exp1_k1_test2019","final_WF_exp1_k1_test2019_17000_uniform_bs_delta_residual_symbolic_formula.txt","43"
"2020_final_WF_exp1_k1_test2020","final_WF_exp1_k1_test2020_9000_hof_validation_selection.csv","34941"
"2020_final_WF_exp1_k1_test2020","final_WF_exp1_k1_test2020_9000_smooth_focus_bs_delta_residual_formula.txt","113"
"2020_final_WF_exp1_k1_test2020","final_WF_exp1_k1_test2020_9000_smooth_focus_bs_delta_residual_pysr_equations.csv","5421"
"2020_final_WF_exp1_k1_test2020","final_WF_exp1_k1_test2020_9000_smooth_focus_bs_delta_residual_score_formula.txt","69"
"2020_final_WF_exp1_k1_test2020","final_WF_exp1_k1_test2020_9000_smooth_focus_bs_delta_residual_symbolic_formula.txt","69"
"2020_final_WF_exp1_k1_test2020","final_WF_exp1_k1_test2020_9000_smooth_uniform_bs_delta_residual_formula.txt","84"
"2020_final_WF_exp1_k1_test2020","final_WF_exp1_k1_test2020_9000_smooth_uniform_bs_delta_residual_pysr_equations.csv","4156"
"2020_final_WF_exp1_k1_test2020","final_WF_exp1_k1_test2020_9000_smooth_uniform_bs_delta_residual_score_formula.txt","40"
"2020_final_WF_exp1_k1_test2020","final_WF_exp1_k1_test2020_9000_smooth_uniform_bs_delta_residual_symbolic_formula.txt","40"
"2020_final_WF_exp1_k1_test2020","final_WF_exp1_k1_test2020_9000_uniform_bs_delta_residual_formula.txt","84"
"2020_final_WF_exp1_k1_test2020","final_WF_exp1_k1_test2020_9000_uniform_bs_delta_residual_pysr_equations.csv","5129"
"2020_final_WF_exp1_k1_test2020","final_WF_exp1_k1_test2020_9000_uniform_bs_delta_residual_score_formula.txt","40"
"2020_final_WF_exp1_k1_test2020","final_WF_exp1_k1_test2020_9000_uniform_bs_delta_residual_symbolic_formula.txt","40"
"2021_final_WF_exp1_k1_test2021","final_WF_exp1_k1_test2021_20000_hof_validation_selection.csv","36521"
"2021_final_WF_exp1_k1_test2021","final_WF_exp1_k1_test2021_20000_smooth_focus_bs_delta_residual_formula.txt","93"
"2021_final_WF_exp1_k1_test2021","final_WF_exp1_k1_test2021_20000_smooth_focus_bs_delta_residual_pysr_equations.csv","5338"
"2021_final_WF_exp1_k1_test2021","final_WF_exp1_k1_test2021_20000_smooth_focus_bs_delta_residual_score_formula.txt","49"
"2021_final_WF_exp1_k1_test2021","final_WF_exp1_k1_test2021_20000_smooth_focus_bs_delta_residual_symbolic_formula.txt","49"
"2021_final_WF_exp1_k1_test2021","final_WF_exp1_k1_test2021_20000_smooth_uniform_bs_delta_residual_formula.txt","100"
"2021_final_WF_exp1_k1_test2021","final_WF_exp1_k1_test2021_20000_smooth_uniform_bs_delta_residual_pysr_equations.csv","4869"
"2021_final_WF_exp1_k1_test2021","final_WF_exp1_k1_test2021_20000_smooth_uniform_bs_delta_residual_score_formula.txt","56"
"2021_final_WF_exp1_k1_test2021","final_WF_exp1_k1_test2021_20000_smooth_uniform_bs_delta_residual_symbolic_formula.txt","56"
"2021_final_WF_exp1_k1_test2021","final_WF_exp1_k1_test2021_20000_uniform_bs_delta_residual_formula.txt","106"
"2021_final_WF_exp1_k1_test2021","final_WF_exp1_k1_test2021_20000_uniform_bs_delta_residual_pysr_equations.csv","6147"
"2021_final_WF_exp1_k1_test2021","final_WF_exp1_k1_test2021_20000_uniform_bs_delta_residual_score_formula.txt","62"
"2021_final_WF_exp1_k1_test2021","final_WF_exp1_k1_test2021_20000_uniform_bs_delta_residual_symbolic_formula.txt","62"
"2022_final_WF_exp1_k1_test2022","final_WF_exp1_k1_test2022_20000_hof_validation_selection.csv","35987"
"2022_final_WF_exp1_k1_test2022","final_WF_exp1_k1_test2022_20000_smooth_focus_bs_delta_residual_formula.txt","104"
"2022_final_WF_exp1_k1_test2022","final_WF_exp1_k1_test2022_20000_smooth_focus_bs_delta_residual_pysr_equations.csv","5132"
"2022_final_WF_exp1_k1_test2022","final_WF_exp1_k1_test2022_20000_smooth_focus_bs_delta_residual_score_formula.txt","60"
"2022_final_WF_exp1_k1_test2022","final_WF_exp1_k1_test2022_20000_smooth_focus_bs_delta_residual_symbolic_formula.txt","60"
"2022_final_WF_exp1_k1_test2022","final_WF_exp1_k1_test2022_20000_smooth_uniform_bs_delta_residual_formula.txt","72"
"2022_final_WF_exp1_k1_test2022","final_WF_exp1_k1_test2022_20000_smooth_uniform_bs_delta_residual_pysr_equations.csv","5456"
"2022_final_WF_exp1_k1_test2022","final_WF_exp1_k1_test2022_20000_smooth_uniform_bs_delta_residual_score_formula.txt","28"
"2022_final_WF_exp1_k1_test2022","final_WF_exp1_k1_test2022_20000_smooth_uniform_bs_delta_residual_symbolic_formula.txt","28"
"2022_final_WF_exp1_k1_test2022","final_WF_exp1_k1_test2022_20000_uniform_bs_delta_residual_formula.txt","91"
"2022_final_WF_exp1_k1_test2022","final_WF_exp1_k1_test2022_20000_uniform_bs_delta_residual_pysr_equations.csv","4990"
"2022_final_WF_exp1_k1_test2022","final_WF_exp1_k1_test2022_20000_uniform_bs_delta_residual_score_formula.txt","47"
"2022_final_WF_exp1_k1_test2022","final_WF_exp1_k1_test2022_20000_uniform_bs_delta_residual_symbolic_formula.txt","47"
"2023_final_WF_exp1_k1_test2023","final_WF_exp1_k1_test2023_4000_hof_validation_selection.csv","32043"
"2023_final_WF_exp1_k1_test2023","final_WF_exp1_k1_test2023_4000_smooth_focus_bs_delta_residual_formula.txt","123"
"2023_final_WF_exp1_k1_test2023","final_WF_exp1_k1_test2023_4000_smooth_focus_bs_delta_residual_pysr_equations.csv","4375"
"2023_final_WF_exp1_k1_test2023","final_WF_exp1_k1_test2023_4000_smooth_focus_bs_delta_residual_score_formula.txt","79"
"2023_final_WF_exp1_k1_test2023","final_WF_exp1_k1_test2023_4000_smooth_focus_bs_delta_residual_symbolic_formula.txt","79"
"2023_final_WF_exp1_k1_test2023","final_WF_exp1_k1_test2023_4000_smooth_uniform_bs_delta_residual_formula.txt","82"
"2023_final_WF_exp1_k1_test2023","final_WF_exp1_k1_test2023_4000_smooth_uniform_bs_delta_residual_pysr_equations.csv","4454"
"2023_final_WF_exp1_k1_test2023","final_WF_exp1_k1_test2023_4000_smooth_uniform_bs_delta_residual_score_formula.txt","38"
"2023_final_WF_exp1_k1_test2023","final_WF_exp1_k1_test2023_4000_smooth_uniform_bs_delta_residual_symbolic_formula.txt","38"
"2023_final_WF_exp1_k1_test2023","final_WF_exp1_k1_test2023_4000_uniform_bs_delta_residual_formula.txt","131"
"2023_final_WF_exp1_k1_test2023","final_WF_exp1_k1_test2023_4000_uniform_bs_delta_residual_pysr_equations.csv","4092"
"2023_final_WF_exp1_k1_test2023","final_WF_exp1_k1_test2023_4000_uniform_bs_delta_residual_score_formula.txt","87"
"2023_final_WF_exp1_k1_test2023","final_WF_exp1_k1_test2023_4000_uniform_bs_delta_residual_symbolic_formula.txt","87"
