year,pattern,steps,mean_spot_return_pct,mean_iv_change,mean_option_pnl,option_up_share,mean_agent_pnl,mean_bs_pnl,mean_agent_minus_bs,mean_delta_gap,underhedged_share
2015,spot_up_iv_down,582,1.0226730865159117,-0.006568134781955573,0.32355228136927533,0.8161512027491409,-0.02134237788610097,-0.0664805654993395,0.045138187613238526,-0.03988934551042088,0.8900343642611683
2015,spot_up_iv_up,173,0.6910145324140661,0.0032561525737084913,0.36193552362488896,0.9653179190751445,0.04823039675406397,0.023603433179645975,0.024626963574418008,-0.03212730934642588,0.8554913294797688
2015,spot_down_iv_up,497,-1.0980162732833512,0.007497409176091202,-0.4246346929166834,0.018108651911468814,0.07113238734814537,0.10973626569816955,-0.038603878350024164,-0.03203963838991259,0.8329979879275654
2015,spot_down_iv_down,248,-0.5108579312810019,-0.003875263938116821,-0.3207302773905642,0.0,-0.0900063081054968,-0.06849798371781045,-0.021508324387686358,-0.034189749166949425,0.8467741935483871
2016,spot_up_iv_down,834,0.7880290255282939,-0.004806076242426047,0.24933656975152713,0.8357314148681055,-0.02696354866408108,-0.057031425572350344,0.030067876908269273,-0.03587013459406142,0.9688249400479616
2016,spot_up_iv_up,338,0.40292884668269263,0.002672030856471503,0.22379212734734538,0.908284023668639,0.021780117799403288,0.008901136670081898,0.012878981129321388,-0.03126983676732013,0.9408284023668639
2016,spot_down_iv_up,769,-0.7901859561541743,0.005996155741961005,-0.3119072630190598,0.031209362808842653,0.04215880352787599,0.0689906617656716,-0.026831858237795617,-0.03347569123227307,0.951885565669701
2016,spot_down_iv_down,399,-0.30046106045890725,-0.0034080476838898215,-0.20511993667641307,0.0,-0.07454286767302737,-0.063508616337902,-0.011034251335125367,-0.03449679585728383,0.9674185463659147
2017,spot_up_iv_down,1727,0.35854015957919705,-0.003154023324148143,0.11567988067361275,0.7851766068326578,-0.0411096508852259,-0.04770906961925965,0.006599418734033755,-0.011746697249345473,0.6253618992472496
2017,spot_up_iv_up,1168,0.32886813248733876,0.003221148725171845,0.20729343386700466,0.9811643835616438,0.021945799486087957,0.019771327913622235,0.002174471572465719,-0.004428955514619227,0.5034246575342466
2017,spot_down_iv_up,1310,-0.3610339475339884,0.003802022512283818,-0.16430230191587722,0.04122137404580153,0.036029730062496455,0.03692418044390513,-0.0008944503814086672,-0.004122388584164074,0.5045801526717557
2017,spot_down_iv_down,795,-0.1961144474759922,-0.0027574633936097446,-0.15442473568829984,0.0,-0.05489619408015201,-0.05231539150819402,-0.002580802571957997,-0.009929165544450206,0.5610062893081761
2018,spot_up_iv_down,2045,0.8694264353509451,-0.007068221751160192,0.2887272323545093,0.8361858190709046,-0.030427319948280438,-0.06682064746604856,0.03639332751776813,-0.038215730842538216,0.8523227383863081
2018,spot_up_iv_up,1220,0.6659398795231922,0.005272643307722269,0.42465347729079844,0.9942622950819672,0.04716438752052996,0.03366724478151791,0.013497142739012037,-0.012895092191070406,0.6573770491803279
2018,spot_down_iv_up,2123,-1.1373993288473763,0.008691429759904869,-0.5193535047943776,0.024022609514837492,0.07747158980810734,0.10800919552668448,-0.03053760571857714,-0.020996952567417765,0.7154969382948657
2018,spot_down_iv_down,1011,-0.4812557307102202,-0.0046096606267877075,-0.3492025536497583,0.0,-0.0805408812513762,-0.06643425224244708,-0.01410662900892912,-0.02764317908800743,0.7744807121661721
2019,spot_up_iv_down,2361,0.7528244747048294,-0.005804514390013521,0.25975654356112,0.8365099534095722,-0.03572957282417465,-0.06710370177287792,0.03137412894870326,-0.03673005723736974,0.8326980093180856
2019,spot_up_iv_up,1478,0.5983404386008153,0.006209166991941273,0.39412917257745667,0.9824086603518268,0.036333011900960555,0.023879305056450393,0.012453706844510163,-0.01456943673931243,0.6508795669824087
2019,spot_down_iv_up,1732,-0.7386888486798118,0.007071673450327393,-0.3244258955683535,0.06928406466512702,0.037531094751736646,0.0645155064731678,-0.026984411721431154,-0.026056308934241622,0.7523094688221709
2019,spot_down_iv_down,809,-0.42648310170231885,-0.0038486210299417453,-0.30821404169296496,0.0,-0.07096087825570396,-0.060109144259018275,-0.010851733996685684,-0.02550725913766593,0.7503090234857849
2020,spot_up_iv_down,3660,1.263614387062188,-0.01021893446167874,0.40687413711327847,0.848087431693989,-0.031138681411332237,-0.1165393903264814,0.08540070891514917,-0.058246957000840774,0.8497267759562842
2020,spot_up_iv_up,2571,1.187532814813296,0.00950374347635085,0.7038842546464674,0.9879424348502528,0.1457319989366669,0.07036593961641574,0.07536605932025117,-0.044723272189272245,0.8055231427460132
2020,spot_down_iv_up,2579,-1.8037828007544605,0.016477452181819827,-0.7463729844487196,0.031407522295463355,0.09505313546341836,0.20596616995119452,-0.11091303448777616,-0.04854055178932687,0.8069018999612253
2020,spot_down_iv_down,1550,-0.9103336230756816,-0.010414816857416706,-0.6443353499240406,0.0,-0.1799946143522055,-0.12950779631295162,-0.05048681803925388,-0.05358359405477885,0.8025806451612904
2021,spot_up_iv_down,4178,0.7747885647327787,-0.006486330987646145,0.26015268832345667,0.8061273336524652,-0.03994082072171157,-0.06713178919288738,0.02719096847117582,-0.03510742070806029,0.904978458592628
2021,spot_up_iv_up,2845,0.5680718620098308,0.005250677005437203,0.4009684525047796,0.9486818980667838,0.039795158103338744,0.021161212273941236,0.018633945829397515,-0.03200025401762674,0.8755711775043937
2021,spot_down_iv_up,3654,-0.8168863961744615,0.008359082025483864,-0.3927942106782887,0.029009304871373837,0.03187716833808297,0.057765703202291886,-0.025888534864208914,-0.03186794778646656,0.8667214012041599
2021,spot_down_iv_down,1263,-0.3703930697669254,-0.004436876385651083,-0.2943193402172702,0.0,-0.07635893754388273,-0.06512469354560851,-0.01123424399827423,-0.03185182084108037,0.8566904196357878
2022,spot_up_iv_down,4578,1.3535477101403441,-0.008237030256110058,0.4733343591771382,0.8626037570991699,0.01598899543125989,-0.04816321592109051,0.0641522113523504,-0.04695592127346588,0.9560943643512451
2022,spot_up_iv_up,2088,1.0582092180094804,0.006185872880881705,0.597138350544558,0.9228927203065134,0.0867367056300237,0.03266416105432654,0.054072544575697164,-0.04662298525297863,0.9367816091954023
2022,spot_down_iv_up,4817,-1.3947898804282477,0.010802859536833836,-0.5607517871332207,0.05439069960556363,0.026101752334058655,0.08393491470426508,-0.057833162370206415,-0.040736836716079826,0.9126012040689225
2022,spot_down_iv_down,3697,-0.7891631576312739,-0.007351139538154815,-0.5278550403140433,0.0,-0.1201727380113355,-0.0821830979478527,-0.03798964006348283,-0.04890597763989346,0.930754665945361
2023,spot_up_iv_down,3464,0.6566766585859909,-0.007222770019442656,0.3190604359758875,0.765877598152425,-0.049640298458746894,-0.07226930943646354,0.02262901097771664,-0.028971394580216855,0.7771362586605081
2023,spot_up_iv_up,3489,0.6897274568399763,0.008310560326829966,0.5282497291534554,0.9335053023789052,0.03280342448708649,0.021790706441626433,0.011012718045460054,-0.012986984917176482,0.6036113499570077
2023,spot_down_iv_up,2860,-0.7383070460504886,0.009804803735281753,-0.48064905342385783,0.022727272727272728,0.025916380526338434,0.04085038217809853,-0.014934001651760094,-0.01665448187565156,0.6360139860139861
2023,spot_down_iv_down,2827,-0.49995298202649635,-0.007579881111742442,-0.44100654040865317,0.0,-0.0781188291758429,-0.07117852650360486,-0.006940302672238044,-0.017486413357756067,0.6731517509727627
