year,metric,label,center,lower,upper,significant,sig90,sig95,sig99,lower90,upper90,lower95,upper95,lower99,upper99,outperforms,n_episodes,n_clusters
2015,cvar,CVaR 5%,0.23610595089187658,-0.09991338761097035,0.3677584089947791,False,False,False,False,-0.09991338761097035,0.35930340396337646,-0.09991338761097035,0.3677584089947791,-0.09991338761097035,0.3834041282605253,False,75,11
2016,cvar,CVaR 5%,0.1356019236818986,-0.02974670713761463,0.337439660348863,False,True,False,False,0.0037290725035205256,0.29713799853246864,-0.029746707137614736,0.337439660348863,-0.09608468443477673,0.4423868407281386,False,117,11
2017,cvar,CVaR 5%,0.03715486723529793,-0.008224598358103853,0.10054164228403902,False,True,False,False,0.00213588883148288,0.09296950486967258,-0.008224598358103873,0.10054164228403902,-0.03887909270198831,0.11099573503119553,False,250,11
2018,cvar,CVaR 5%,0.1674146778925345,-0.02134884742274531,0.20782134419943543,False,False,False,False,-0.006827889052135869,0.20353643136759866,-0.021348847422745326,0.20782134419943543,-0.04077406435543193,0.21379000068270748,False,320,11
2019,cvar,CVaR 5%,0.10242429313024304,-0.0422677667754119,0.2217170482467095,False,False,False,False,-0.020093501654308045,0.20356596164695148,-0.04226776677541192,0.2217170482467095,-0.08312489993931471,0.24925391706641006,False,319,11
2020,cvar,CVaR 5%,0.04548505089413202,-0.17187981754331627,0.39100520911136244,False,False,False,False,-0.138836119578677,0.3333530939530712,-0.1718798175433163,0.39100520911136244,-0.2393219294496016,0.5127266452350868,False,518,11
2021,cvar,CVaR 5%,0.08183770319019845,0.0057254064918052135,0.1591666546462617,True,True,True,False,0.018306744130356545,0.14853231368937536,0.005725406491805213,0.1591666546462617,-0.01901314237960242,0.1795607264016603,True,597,11
2022,cvar,CVaR 5%,0.04684080924337508,-0.06244354125013131,0.1973092288848333,False,False,False,False,-0.04741462090088675,0.17816317284086255,-0.06244354125013135,0.1973092288848333,-0.11133564523198593,0.2301649375087914,False,759,12
2023,cvar,CVaR 5%,0.05729450280379722,-0.0800050904182308,0.19253604360844864,False,False,False,False,-0.07222678854181591,0.1704839853661628,-0.0800050904182308,0.19253604360844864,-0.09390590620856841,0.22891055192495546,False,632,11
2015,log_downside_variance,Log Downside Variance,-0.8020993298190366,-1.100555391904601,-0.27071696706060533,True,True,True,True,-1.0648742708002819,-0.3245948220408358,-1.100555391904601,-0.27071696706060533,-1.2003079300934307,-0.17929192020010248,True,75,11
2016,log_downside_variance,Log Downside Variance,-0.42877055475013404,-0.7337213873661391,-0.225469037727576,True,True,True,True,-0.6655622448059233,-0.2612769227104166,-0.7337213873661395,-0.225469037727576,-0.8748954205253822,-0.14999729510163734,True,117,11
2017,log_downside_variance,Log Downside Variance,-0.16178388192299964,-0.33932909808180944,-0.03616019131879593,True,True,True,False,-0.30875784878729284,-0.05227689446933643,-0.3393290980818095,-0.03616019131879593,-0.40208054750043154,0.002888137891624065,True,250,11
2018,log_downside_variance,Log Downside Variance,-0.46733166020664724,-0.8968286719048684,0.058031178348760835,False,True,False,False,-0.7788328923926806,-0.04805481074519505,-0.8968286719048685,0.058031178348760835,-1.1476630546847684,0.22315552649642456,False,320,11
2019,log_downside_variance,Log Downside Variance,-0.5569831901160769,-0.9108793025188026,-0.17076322264615684,True,True,True,True,-0.854823539038684,-0.22545383463600607,-0.9108793025188026,-0.17076322264615684,-1.0329725471005045,-0.06914711432530334,True,319,11
2020,log_downside_variance,Log Downside Variance,-0.6771413237243994,-1.7711925920696452,-0.07081848414549859,True,True,True,False,-1.5749514313048902,-0.16607358793243904,-1.7711925920696454,-0.07081848414549859,-2.3361777443124008,0.2271026457754279,True,518,11
2021,log_downside_variance,Log Downside Variance,-0.4513255515736623,-0.9656380351173984,-0.19749780364872138,True,True,True,True,-0.8446383697286922,-0.23092297628939137,-0.9656380351173985,-0.19749780364872138,-1.2990030461286473,-0.14979416006547744,True,597,11
2022,log_downside_variance,Log Downside Variance,-0.06228181056693748,-0.7339727544393889,0.558937074983868,False,False,False,False,-0.610315165674796,0.4510197554361528,-0.7339727544393897,0.558937074983868,-0.9907570472804578,0.826539873091202,False,759,12
2023,log_downside_variance,Log Downside Variance,-0.1683733312711256,-0.34656385110149474,-0.021566080410829986,True,True,True,False,-0.3157515101777026,-0.04199210302075943,-0.3465638511014948,-0.021566080410829986,-0.41226473517418943,0.017877674874121948,True,632,11
2015,log_variance,Log Variance,-0.17709812063201186,-0.5331115014779568,0.2618958661759643,False,False,False,False,-0.5042291408218833,0.1725196785772083,-0.5331115014779568,0.2618958661759643,-0.5932277043314651,0.4718421958656437,False,75,11
2016,log_variance,Log Variance,-0.030684945392526138,-0.7485938103100244,0.2040445957297295,False,False,False,False,-0.6547823310488533,0.17948584881797672,-0.7485938103100245,0.2040445957297295,-0.9335004091012792,0.2759149326280638,False,117,11
2017,log_variance,Log Variance,0.18682359181898847,-0.04302010894495664,0.44149915135043905,False,False,False,False,-0.002278501215919751,0.38906606653706205,-0.04302010894495668,0.44149915135043905,-0.13016499817667387,0.5431573257232137,False,250,11
2018,log_variance,Log Variance,0.014412552101789626,-0.3209327708566327,0.1637325986353939,False,False,False,False,-0.22839592168045242,0.14086543331376958,-0.32093277085663285,0.1637325986353939,-0.4674893130556289,0.21415768003951113,False,320,11
2019,log_variance,Log Variance,-0.18557437983112768,-0.662929819717508,0.6578375887535155,False,False,False,False,-0.601556564738618,0.5644717291902441,-0.662929819717508,0.6578375887535155,-0.7492539346428532,0.8345976230573168,False,319,11
2020,log_variance,Log Variance,-0.00930216294232206,-0.6089805594334954,0.780220591069514,False,False,False,False,-0.5302823281678517,0.6440845117058066,-0.6089805594334955,0.780220591069514,-0.7347441433352743,1.0482832831444484,False,518,11
2021,log_variance,Log Variance,0.14238321455139424,-0.14392384504026176,0.3721092649875641,False,False,False,False,-0.09246153741257913,0.3380771959532778,-0.1439238450402619,0.3721092649875641,-0.26473899893799485,0.433918828218416,False,597,11
2022,log_variance,Log Variance,-0.1165773967299258,-0.42146456764476853,0.17135708395394125,False,False,False,False,-0.3700196931258991,0.11994784318270864,-0.4214645676447686,0.17135708395394125,-0.5189431988562752,0.2657460781542768,False,759,12
2023,log_variance,Log Variance,0.5274378937718711,0.19288517032683547,0.8503927033878843,True,True,True,True,0.253781652951034,0.7960799893877495,0.19288517032683547,0.8503927033878843,0.08104641807322897,0.9729867791104807,False,632,11
2015,mean_pnl,Mean terminal P&L,0.14957571519641086,-0.012339634819306028,0.26563706850808055,False,True,False,False,0.012975095565193173,0.25036383061688083,-0.012339634819306078,0.26563706850808055,-0.06680432252967479,0.290731420198153,False,75,11
2016,mean_pnl,Mean terminal P&L,0.06072686890297719,-0.01741918742980916,0.13112350193643735,False,False,False,False,-0.0014731442612430342,0.12083121905131379,-0.017419187429809184,0.13112350193643735,-0.044737326441561344,0.15463989019251934,False,117,11
2017,mean_pnl,Mean terminal P&L,0.045537495289670916,0.019700281293937118,0.07522027741442726,True,True,True,True,0.023321033228280812,0.0703928736572863,0.019700281293937118,0.07522027741442726,0.01337937543510422,0.0831654116598393,True,250,11
2018,mean_pnl,Mean terminal P&L,0.05358351025964153,-0.015032494202895737,0.1356991178457972,False,False,False,False,-0.004523326786171833,0.12067346135259321,-0.015032494202895742,0.1356991178457972,-0.03497898058654599,0.16637129247104718,False,320,11
2019,mean_pnl,Mean terminal P&L,0.11854191316904657,0.004966115883771853,0.23382185532616304,True,True,True,False,0.023206655020290654,0.21542285881097922,0.004966115883771812,0.23382185532616304,-0.02779913840451214,0.27287001995703597,True,319,11
2020,mean_pnl,Mean terminal P&L,0.30849031709733243,-0.06298637070783789,0.6601179252676549,False,False,False,False,-0.006533133459075355,0.5959989961460624,-0.0629863707078379,0.6601179252676549,-0.19580223093739624,0.7857772570204898,False,518,11
2021,mean_pnl,Mean terminal P&L,0.11969880280356231,0.06445619998796172,0.18615945272965603,True,True,True,True,0.07194577108504463,0.17471376714973802,0.06445619998796172,0.18615945272965603,0.05101099186535074,0.20736443079998595,True,597,11
2022,mean_pnl,Mean terminal P&L,-0.016315998850133503,-0.1476136648506861,0.12601954635905263,False,False,False,False,-0.12765180120456684,0.10090154392060745,-0.14761366485068614,0.12601954635905263,-0.18372401263103863,0.1708886252896813,False,759,12
2023,mean_pnl,Mean terminal P&L,0.08708937159525071,0.03451437568028695,0.14078930346212684,True,True,True,True,0.042285726291758634,0.13243406840661193,0.03451437568028695,0.14078930346212684,0.01996981309571609,0.15731475654503832,True,632,11
2015,reward,Reward,1.9458674820778652,0.9962598477754336,2.8870231950282177,True,True,True,True,1.1518597172881315,2.7241849439591137,0.9962598477754335,2.8870231950282177,0.6777315665332202,3.197617004857781,True,75,11
2016,reward,Reward,1.301634676064348,0.9532573875285888,1.7452414404083625,True,True,True,True,1.0053770881267439,1.6677277234412677,0.9532573875285888,1.7452414404083625,0.8428431198724688,1.9352131623671298,True,117,11
2017,reward,Reward,0.40910807340543465,0.03588393198903494,0.8063287107702104,True,True,True,False,0.0904134444567223,0.746572788308999,0.03588393198903485,0.8063287107702104,-0.061536695234730716,0.9251381073718692,True,250,11
2018,reward,Reward,0.5229742373073001,-0.26198508714662394,1.4147972272068772,False,False,False,False,-0.14926323553627638,1.2942515743260439,-0.26198508714662405,1.4147972272068772,-0.5000551588687758,1.7149836477763327,False,320,11
2019,reward,Reward,1.2047372849119165,0.06687305826384755,2.435937852607796,True,True,True,False,0.22533793581182332,2.250879278011737,0.06687305826384747,2.435937852607796,-0.21547001121229403,2.8146816232015075,True,319,11
2020,reward,Reward,-0.4978974458002238,-4.117091906234867,2.333953161145504,False,False,False,False,-3.5037422845946606,1.9359241431831518,-4.1170919062348705,2.333953161145504,-5.626306876600644,3.1035307787297004,False,518,11
2021,reward,Reward,1.673511533600419,1.3196340752091225,2.092102318094417,True,True,True,True,1.3701904333667307,2.011960132954166,1.3196340752091225,2.092102318094417,1.2264958344590782,2.2426461816238867,True,597,11
2022,reward,Reward,-1.904734157818154,-3.7719723374675866,-0.3854762102635567,True,True,True,False,-3.4676995500595016,-0.5913436045274255,-3.7719723374675866,-0.3854762102635567,-4.41990286776976,0.021518032983206876,False,759,12
2023,reward,Reward,0.09491552983646867,-0.5581393038273512,0.9935410262229151,False,False,False,False,-0.4931511425408,0.841005521743588,-0.5581393038273512,0.9935410262229151,-0.680273350310372,1.3444698891539086,False,632,11
